Gene_Symbol	Protein	Refseq_identifier	FUS_cluster_Total	FUS_cluster_5UTR	FUS_cluster_introns	FUS_cluster_exons	FUS_cluster_3UTR	FUS_RNAseq_RPKM_FUS_KD	FUS_RNAseq_RPKM_control	FUS_RNAseq_Ratio_KD_control	FUS_RNAseq_Zscore	TDP_cluster_Total	TDP_cluster_5UTR	TDP_cluster_introns	TDP_cluster_exons	TDP_cluster_3UTR	TDP_RNAseq_TDP_KD	TDP_RNAseq_RPKM_control	TDP_RNAseq_Ratio_KD_control	TDP_RNAseq_Zscore
AK133324	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4932433E03 product:Hypothetical protein GS164B05.1 in chromosome 7 (Fragment) homolog [Homo sapiens], full insert sequence.	AK133324	1	0	0	0	1	6.831	8.825	0.77	-2.036	0	0	0	0	0	6.021	8.825	0.68	-1.965
Slc6a11	gamma-aminobutyric acid (GABA-A) transporter 4	NM_172890	5	0	0	0	5	25.243	31.82	0.79	-2.035	10	0	8	2	0	26.852	31.82	0.84	-0.821
6330514A18Rik	hypothetical protein LOC216166	BC099679	2	0	0	2	0	3.875	5.322	0.73	-2.033	6	0	6	0	0	4.47	5.322	0.84	-0.941
Galnt13	UDP-N-acetyl-alpha-D-galactosamine:polypeptide	AK030726	156	0	150	3	3	10.325	13.089	0.79	-2.032	42	0	42	0	0	8.593	13.089	0.66	-2.032
Itih3	inter-alpha trypsin inhibitor, heavy chain 3	NM_008407	0	0	0	0	0	3.209	4.614	0.70	-2.032	0	0	0	0	0	4.078	4.614	0.88	-0.72
Llgl1	lethal giant larvae homolog	NM_008502	1	0	1	0	0	8.434	10.633	0.79	-2.031	1	0	0	0	1	13.33	10.633	1.25	0.936
Cgnl1	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700047G11 product:hypothetical Myosin tail containing protein, full insert sequence (Cgnl1 protein).	AK018850	1	0	1	0	0	3.589	5.006	0.72	-2.031	2	0	2	0	0	5.618	5.006	1.12	0.145
Clcn1	Mus musculus adult male bone cDNA, RIKEN full-length enriched library, clone:9830168O13 product:CHLORIDE CHANNEL PROTEIN, SKELETAL MUSCLE (CHLORIDE CHANNEL PROTEIN 1) (CLC-1), full insert sequence.	AY046404	2	0	2	0	0	0.227	0.564	0.40	-2.029	2	0	2	0	0	0.732	0.564	1.30	0.062
Nr2f6	Mus musculus ES cells cDNA, RIKEN full-length enriched library, clone:2410017K09 product:nuclear receptor subfamily 2, group F, member 6, full insert sequence.	AK216379	0	0	0	0	0	2.816	4.128	0.68	-2.028	0	0	0	0	0	3.973	4.128	0.96	-0.428
Calml4	17 days embryo kidney cDNA, RIKEN full-length enriched library, clone:I920038P21 product:calmodulin-like 4, full insert sequence.	AK146656	0	0	0	0	0	0.242	0.601	0.40	-2.026	0	0	0	0	0	0.391	0.601	0.65	-1.23
NR_002167	Mus musculus 10 days neonate olfactory brain cDNA, RIKEN full-length enriched library, clone:E530001F21 product:hypothetical Homeobox domain containing protein, full insert sequence.	NR_002167	0	0	0	0	0	0.706	1.409	0.50	-2.025	0	0	0	0	0	1.182	1.409	0.84	-0.81
mKIAA0326	Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930419A17 product:KIAA0326 PROTEIN (FRAGMENT) homolog [Homo sapiens], full insert sequence.	AK079665	0	0	0	0	0	5.108	6.777	0.75	-2.016	0	0	0	0	0	6.452	6.777	0.95	-0.471
H1fx	H1 histone family, member X	NM_198622	0	0	0	0	0	6.719	8.683	0.77	-2.015	0	0	0	0	0	9.136	8.683	1.05	0.017
Cxcl12	stromal cell derived factor 1 isoform beta	NM_013655	0	0	0	0	0	9.011	11.364	0.79	-2.014	0	0	0	0	0	10.102	11.364	0.89	-0.687
BC068157	hypothetical protein LOC73072	NM_207203	1	0	0	0	1	4.77	6.364	0.75	-2.014	0	0	0	0	0	5.04	6.364	0.79	-1.15
2700045P11Rik	11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2700045P11 product:hypothetical protein, full insert sequence.	AK012380	91	0	90	1	0	15.551	19.058	0.82	-2.012	57	0	57	0	0	18.112	19.058	0.95	-0.312
Nab2	Ngfi-A binding protein 2	NM_008668	0	0	0	0	0	9.959	12.618	0.79	-2.011	0	0	0	0	0	9.769	12.618	0.77	-1.307
Hemk1	Mus musculus 2 days pregnant adult female ovary cDNA, RIKEN full-length enriched library, clone:E330026G11 product:weakly similar to HEMK PROTEIN HOMOLOG (EC 2.1.1.-) (M.HSAHEMKP) [Homo sapiens], full insert sequence.	AK054445	3	0	1	1	1	3.38	4.759	0.71	-2.01	0	0	0	0	0	3.999	4.759	0.84	-0.897
Acvrl1	activin A receptor, type II-like 1	AK160915	0	0	0	0	0	5.875	7.672	0.77	-2.007	0	0	0	0	0	7.477	7.672	0.97	-0.377
Tmem86b	hypothetical protein LOC68255	NM_023440	1	0	0	1	0	2.15	3.137	0.69	-2.007	0	0	0	0	0	2.108	3.137	0.67	-1.485
Pygm	muscle glycogen phosphorylase	NM_011224	0	0	0	0	0	4.29	5.781	0.74	-2.006	0	0	0	0	0	3.73	5.781	0.65	-1.89
Dennd1a	Mus musculus in vitro fertilized eggs cDNA, RIKEN full-length enriched library, clone:7420473K21 product:hypothetical dDENN domain/DENN (AEX-3) domain containing protein, full insert sequence.	AK220407	70	0	70	0	0	9.873	12.493	0.79	-2.004	31	0	31	0	0	9.337	12.493	0.75	-1.451
Ajap1	adherens junction associated protein 1	NM_001099299	14	0	14	0	0	9.115	11.483	0.79	-2.002	17	0	17	0	0	11.544	11.483	1.01	-0.108
Zswim6	Zinc finger SWIM domain-containing protein 6 (Fragment).	AK037945	106	1	105	0	0	11.295	14.095	0.80	-2	19	0	17	0	2	13.377	14.095	0.95	-0.4
Atp2b3	Atp2b3 protein.	BC118976	34	0	25	7	2	16.163	19.76	0.82	-1.996	5	0	4	1	0	13.083	19.76	0.66	-2.116
Vwf	Mus musculus von Willebrand factor mRNA, complete cds.	AK044921	0	0	0	0	0	1.625	2.481	0.65	-1.994	0	0	0	0	0	2.859	2.481	1.15	0.12
Lrrc4c	leucine rich repeat containing 4C	NM_178725	348	6	341	0	2	24.878	31.223	0.80	-1.994	141	0	141	0	0	24.011	31.223	0.77	-1.27
Rgs9	regulator of G-protein signaling 9	AF011358	42	0	29	0	13	55.938	72.023	0.78	-1.99	8	0	8	0	0	64.615	72.023	0.90	-0.519
Cd59a	CD59a antigen	NM_007652	1	0	0	1	0	1.644	2.507	0.66	-1.99	0	0	0	0	0	3.968	2.507	1.58	1.196
Bai3	brain-specific angiogenesis inhibitor 3	BC079670	545	3	540	0	2	15.887	19.408	0.82	-1.987	154	0	154	0	0	13.082	19.408	0.67	-2.047
Kcng3	potassium voltage-gated channel, subfamily G,	NM_153512	0	0	0	0	0	2.214	3.242	0.68	-1.985	2	0	2	0	0	3.046	3.242	0.94	-0.538
6430571L13Rik	hypothetical protein LOC235599	NM_175486	2	0	1	0	1	1.183	1.945	0.61	-1.985	0	0	0	0	0	1.618	1.945	0.83	-0.883
Phf20l1	PHD finger protein 20-like 1	BC052212	48	14	33	0	11	9.541	11.982	0.80	-1.982	7	1	6	0	1	11.543	11.982	0.96	-0.294
Zcchc12	zinc finger, CCHC domain containing 12	NM_028325	3	1	1	0	1	19.18	23.564	0.81	-1.982	0	0	0	0	0	26.783	23.564	1.14	0.637
Lingo2	leucine rich repeat and Ig domain containing 2	AK141568	371	1	370	0	0	2.462	3.586	0.69	-1.982	124	0	123	0	1	1.865	3.586	0.52	-2.317
AK032180	Mus musculus adult male olfactory brain cDNA, RIKEN full-length enriched library, clone:6430407N19 product:unclassifiable, full insert sequence.	AK032180	18	0	15	3	0	7.243	9.218	0.79	-1.977	7	0	7	0	0	7.618	9.218	0.83	-1.107
Drd2	dopamine receptor 2	NM_010077	0	0	0	0	0	27.203	33.926	0.80	-1.976	5	0	5	0	0	34.616	33.926	1.02	0.084
Grm1	glutamate receptor, metabotropic 1	NM_016976	111	0	109	2	0	8.592	10.794	0.80	-1.975	62	0	62	0	0	8.356	10.794	0.77	-1.261
Fbxo10	Mus musculus 13 days embryo lung cDNA, RIKEN full-length enriched library, clone:D430034C13 product:F-box only protein 10, full insert sequence.	AK150292	1	0	1	0	0	5.78	7.51	0.77	-1.97	4	0	4	0	0	7.259	7.51	0.97	-0.416
Kcnq3	potassium voltage-gated channel, subfamily Q,	NM_152923	170	0	170	0	0	11.546	14.378	0.80	-1.968	66	0	66	0	0	6.533	14.378	0.45	-3.657
2700038N03Rik	Ufm1-specific protease 1	NM_027356	0	0	0	0	0	1.911	2.805	0.68	-1.967	0	0	0	0	0	2.458	2.805	0.88	-0.707
Coasy	Coenzyme A synthase	BC064753	1	0	0	0	1	3.392	4.746	0.71	-1.967	0	0	0	0	0	4.937	4.746	1.04	-0.139
Lass1	longevity assurance homolog 1	NM_138647	6	0	4	1	1	19.517	23.879	0.82	-1.965	2	0	2	0	0	21.847	23.879	0.91	-0.459
Pipox	pipecolic acid oxidase	NM_008952	0	0	0	0	0	1.072	1.802	0.59	-1.963	0	0	0	0	0	2.794	1.802	1.55	0.873
H2-DMa	histocompatibility 2, class II, locus DMa	NM_010386	1	1	0	0	0	2.679	3.888	0.69	-1.962	0	0	0	0	0	4.313	3.888	1.11	0.075
Dmpk	dystrophia myotonica-protein kinase	BC075715	0	0	0	0	0	1.778	2.644	0.67	-1.962	0	0	0	0	0	2.575	2.644	0.97	-0.396
